product_id,order_id,quantity,unit_price
1,3,5,72.69
1,25,4,63.59
1,59,3,22.07
1,68,4,196.11
1,71,5,227.35
1,81,4,116.89
1,121,2,277.29
1,123,1,127.55
1,138,1,38.29
1,155,1,279.34
1,187,3,149.28
1,203,1,299.98
1,208,1,121.73
1,259,1,167.6
1,300,1,66.57
2,20,1,211.07
2,57,4,65.81
2,58,5,102.97
2,63,4,43.22
2,79,2,293.17
2,80,1,181.54
2,94,4,297.49
2,130,3,44.08
2,141,3,187.8
2,155,2,24.27
2,185,3,246.71
2,237,3,224.47
2,253,4,298.5
2,263,2,112.06
2,273,2,182.99
3,10,4,90.93
3,24,5,131.2
3,86,5,266.13
3,92,1,45.25
3,129,2,218.03
3,140,5,298.42
3,146,3,227.31
3,150,5,259.76
3,151,4,262.93
3,173,1,24.73
3,193,1,150.19
3,247,3,211.76
3,273,4,222.86
3,275,2,242.55
4,1,1,296.47
4,5,2,252.36
4,6,1,45.81
4,50,5,240.35
4,106,2,238.13
4,128,1,21.63
4,165,4,256.04
4,180,5,111.71
4,186,1,297.82
4,198,2,186.26
4,215,3,142.39
4,241,3,227.46
4,258,1,44.35
4,287,1,96.12
5,2,2,270.24
5,85,3,91.77
5,86,4,250.29
5,115,1,83.68
5,130,4,91.99
5,152,2,235.74
5,194,4,28.07
5,231,2,207.24
6,8,2,125.19
6,20,5,250.29
6,61,4,201.92
6,64,3,158.38
6,91,4,88.18
6,107,5,56.14
6,110,5,279.77
6,129,1,70.46
6,136,1,23.97
6,178,5,259.37
6,267,3,214.66
6,297,3,229.65
7,10,5,187.7
7,17,1,263.62
7,152,1,209.16
7,216,2,156.19
7,245,4,62.62
7,247,5,267.97
7,269,1,284.51
8,5,3,67.54
8,42,2,99.52
8,92,2,144.46
8,113,2,204.77
8,139,5,245.44
8,146,3,238.44
8,153,3,33.09
8,161,1,174.35
8,170,2,155.16
8,172,1,76.76
8,184,5,186.96
8,213,4,75.46
8,224,2,116.3
9,15,3,53.26
9,17,3,148.75
9,39,3,140.78
9,108,1,298.86
9,137,5,108.31
9,139,4,108.22
9,158,4,59.45
9,190,3,175.14
9,240,2,280.65
9,283,3,63.47
9,290,5,143.88
10,63,1,298.91
10,82,2,238.57
10,110,1,141.67
10,132,3,270.02
10,152,1,202.93
10,166,3,22.22
10,182,2,148.1
10,184,1,263.76
10,220,4,256.94
10,227,2,226.47
10,228,4,145.16
10,243,3,250.63
10,259,2,282.48
10,279,4,130.4
10,289,3,288.77
11,3,4,296.83
11,11,1,45.83
11,71,4,279.23
11,76,5,122.3
11,86,1,190.53
11,112,5,248.04
11,129,4,131.73
11,144,5,184.58
11,195,4,173.69
11,198,4,125.15
11,208,4,49.79
11,239,3,50.86
11,262,1,113.83
11,279,2,44.71
12,34,3,251.16
12,48,4,20.08
12,50,4,281.19
12,146,5,248.47
12,257,1,128.89
12,259,3,284.63
12,266,2,289.46
12,298,2,242.44
13,55,4,62.67
13,63,3,117.84
13,89,3,201.13
13,100,5,92.23
13,141,3,125
13,146,2,94.73
13,151,3,199.78
13,183,3,206.61
13,191,4,258.52
13,203,4,184.23
13,205,4,81.8
13,273,2,65.11
13,287,2,289.21
14,44,2,113.91
14,56,1,262.97
14,72,2,118.64
14,73,3,29.62
14,83,4,22.17
14,111,5,89.03
14,125,2,69.76
14,146,3,244.62
14,173,5,38.56
14,182,1,119.4
14,237,4,128.85
14,240,3,148.13
14,273,1,105.83
14,298,2,143.01
15,10,5,76.8
15,11,1,282.8
15,61,1,268.02
15,79,5,184.14
15,106,2,42.49
15,176,3,207.48
15,179,1,244.24
16,47,1,246.68
16,62,5,258.45
16,66,4,21.17
16,76,2,280.35
16,142,1,131.94
16,251,3,120.9
16,271,4,55.77
17,56,5,64.47
17,102,3,20.01
17,220,5,146.25
17,224,4,30.91
17,261,2,227.73
17,292,2,201.57
17,295,5,143.12
18,3,1,278.43
18,26,5,253.36
18,42,1,281.35
18,45,5,42.58
18,50,5,254.79
18,95,5,172.16
18,101,1,85.49
18,103,2,178.11
18,141,5,262.94
18,151,1,277.25
18,161,3,279.2
18,223,5,171.39
18,228,2,261.02
18,250,5,133.44
18,257,2,263.15
18,289,3,123.2
19,9,2,104.45
19,18,2,296.05
19,52,1,273.98
19,86,1,125.81
19,99,3,252
19,105,1,124.96
19,141,4,141.93
19,144,4,41.58
19,183,1,136.3
19,211,2,227.36
19,224,5,160.62
19,236,3,133.57
19,238,2,252.85
20,14,5,143.31
20,120,2,150.25
20,147,4,130
20,153,4,107.58
20,169,2,61.47
20,273,5,115.18
21,2,2,196.39
21,48,5,52.86
21,52,3,85.13
21,56,5,43.11
21,68,5,175.41
21,92,4,73.81
21,121,5,104.29
21,172,1,98.22
21,200,4,76.78
21,296,4,223.91
21,297,4,270.72
22,46,2,77.72
22,79,4,247.65
22,85,5,134.58
22,147,4,210.23
22,168,3,178.54
22,200,3,217.58
22,214,3,180.54
22,222,2,206.42
22,254,1,193.97
22,260,1,160.99
22,267,2,140.74
22,278,3,210.25
22,289,2,22.79
23,1,4,30.99
23,26,2,168.56
23,39,4,107.69
23,78,3,245.55
23,129,1,169.5
23,155,2,121.22
23,183,1,66.14
23,284,1,254.08
23,297,1,74.73
24,32,3,70.57
24,78,4,21.83
24,81,3,284.95
24,84,4,244.54
24,97,1,252.06
24,147,5,96.33
24,154,3,203.38
24,161,4,269.07
24,205,4,184.06
24,218,2,111.5
24,231,1,77.68
24,251,1,70.82
24,270,2,91.06
24,275,1,99.06
24,294,1,281.6
25,7,2,115.49
25,30,3,249.96
25,58,4,85.03
25,66,1,64.71
25,70,2,58.43
25,82,5,203.47
25,98,4,110.87
25,135,3,173.33
25,140,5,202.21
25,150,2,73.7
25,217,1,41.64
25,277,4,91.01
26,52,1,157.75
26,80,3,30.75
26,130,2,296.97
26,131,1,205.72
26,143,2,268.41
26,213,1,146.08
26,240,2,207.09
26,251,1,80.21
26,254,4,22.24
27,14,3,30.31
27,40,4,127.66
27,69,2,293.7
27,70,2,89.49
27,74,1,202.45
27,144,1,193.56
27,146,4,162.07
27,169,2,288.72
27,181,1,182.05
27,198,3,292.5
27,221,4,173.26
27,244,4,272.27
27,261,1,21.15
27,265,5,65.93
28,34,4,72.18
28,45,1,275
28,58,2,289.46
28,82,1,56.7
28,104,3,218.53
28,109,3,88.6
28,125,4,190.4
28,127,2,192.92
28,131,3,154.56
28,178,1,66.63
28,218,1,41.09
28,228,3,46.97
28,235,3,118.48
28,238,4,254.14
28,241,3,90.27
28,260,3,171.59
28,294,1,92.15
29,16,1,263.28
29,54,1,122.73
29,237,4,239.63
29,294,5,101.83
29,300,5,81.25
30,8,1,202.11
30,91,3,128.86
30,95,5,117.25
30,124,3,83.08
30,147,4,166.1
30,156,3,29.73
30,172,1,111.75
30,175,4,234.25
30,186,2,116.53
30,202,1,276.77
30,215,1,58.85
30,269,3,112.45
30,272,1,220.22
30,294,1,114.55
31,30,2,189.37
31,64,1,238.34
31,65,3,265.1
31,86,3,225.38
31,98,4,234.45
31,119,5,73.29
31,120,1,143.01
31,130,3,65.16
31,135,4,196.28
31,168,1,193.3
31,209,3,222.33
31,268,1,279.59
32,23,5,114.08
32,24,5,60.54
32,30,1,57.09
32,35,1,148.47
32,104,1,110.06
32,126,2,215.42
32,189,2,242.99
32,216,1,59.54
32,218,1,166.24
32,223,5,268.88
32,224,1,235.23
32,233,2,152.3
32,269,3,291.17
33,50,4,106.41
33,66,3,107.58
33,69,2,248.46
33,81,1,46.68
33,82,2,93.58
33,89,2,98.24
33,129,4,271.41
33,143,3,136.21
33,155,4,190.61
33,184,2,163.07
33,208,1,216.69
33,229,3,264.55
33,236,4,172.52
33,240,5,281.13
33,262,4,118.76
33,298,2,82.57
34,30,3,61.61
34,45,2,102.11
34,115,2,222.81
34,122,1,43.55
34,131,2,228.91
34,150,4,50.57
34,153,5,156.85
34,182,4,51.79
34,188,5,222.32
34,266,3,269.89
35,37,4,211.71
35,82,4,208.97
35,136,5,298.61
35,176,2,208.86
35,230,4,107.48
36,17,2,209.46
36,24,5,93.13
36,29,5,228.13
36,36,1,211.73
36,68,1,95.98
36,71,5,237.09
36,92,4,59.11
36,93,5,214.6
36,101,3,65.02
36,118,3,168.5
36,120,4,55.78
36,135,2,281.77
36,142,3,174.15
36,147,2,262.27
36,150,5,32.16
36,158,4,46.09
36,177,4,104.41
36,191,5,189.21
36,213,5,213.13
36,215,5,140.24
36,263,4,257.15
36,273,2,252.32
36,283,5,210.5
37,52,2,299.6
37,107,5,102.06
37,109,3,69.85
37,121,2,207.1
