Year,Age,Gender,Educational Attainment,Personal Income,Population Count
01/01/2008 12:00:00 AM,00 to 17,Male,Children under 15,No Income,
01/01/2008 12:00:00 AM,00 to 17,Male,No high school diploma,No Income,650889
01/01/2008 12:00:00 AM,00 to 17,Male,No high school diploma,"$5,000 to $9,999",30152
01/01/2008 12:00:00 AM,00 to 17,Male,No high school diploma,"$10,000 to $14,999",7092
01/01/2008 12:00:00 AM,00 to 17,Male,No high school diploma,"$15,000 to $24,999",3974
01/01/2008 12:00:00 AM,00 to 17,Male,No high school diploma,"$25,000 to $34,999",2606
01/01/2008 12:00:00 AM,00 to 17,Male,No high school diploma,"$35,000 to $49,999",2227
01/01/2008 12:00:00 AM,00 to 17,Male,High school or equivalent,No Income,
01/01/2008 12:00:00 AM,00 to 17,Male,"Some college, less than 4-yr degree",No Income,8664
01/01/2008 12:00:00 AM,00 to 17,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",1304
01/01/2008 12:00:00 AM,00 to 17,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",3465
01/01/2008 12:00:00 AM,00 to 17,Male,Bachelor's degree or higher,No Income,
01/01/2008 12:00:00 AM,00 to 17,Female,Children under 15,No Income,
01/01/2008 12:00:00 AM,00 to 17,Female,No high school diploma,No Income,635274
01/01/2008 12:00:00 AM,00 to 17,Female,No high school diploma,"$5,000 to $9,999",33202
01/01/2008 12:00:00 AM,00 to 17,Female,No high school diploma,"$10,000 to $14,999",6857
01/01/2008 12:00:00 AM,00 to 17,Female,No high school diploma,"$15,000 to $24,999",2009
01/01/2008 12:00:00 AM,00 to 17,Female,High school or equivalent,No Income,4711
01/01/2008 12:00:00 AM,00 to 17,Female,High school or equivalent,"$5,000 to $9,999",7672
01/01/2008 12:00:00 AM,00 to 17,Female,"Some college, less than 4-yr degree",No Income,7598
01/01/2008 12:00:00 AM,00 to 17,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",1565
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,No Income,261172
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,"$5,000 to $9,999",163263
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,"$10,000 to $14,999",317119
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,"$15,000 to $24,999",573769
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,"$25,000 to $34,999",333713
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,"$35,000 to $49,999",222761
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,"$50,000 to $74,999",109200
01/01/2008 12:00:00 AM,18 to 64,Male,No high school diploma,"$75,000 and over",44291
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,No Income,296555
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,"$5,000 to $9,999",187833
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,"$10,000 to $14,999",229724
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,"$15,000 to $24,999",501296
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,"$25,000 to $34,999",433340
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,"$35,000 to $49,999",472466
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,"$50,000 to $74,999",424046
01/01/2008 12:00:00 AM,18 to 64,Male,High school or equivalent,"$75,000 and over",175104
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree",No Income,237810
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",211318
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",224732
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",416638
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",418686
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",539958
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",591795
01/01/2008 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$75,000 and over",478470
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,No Income,94464
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$5,000 to $9,999",52069
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$10,000 to $14,999",88070
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$15,000 to $24,999",201443
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$25,000 to $34,999",236263
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$35,000 to $49,999",387555
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$50,000 to $74,999",690627
01/01/2008 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$75,000 and over",1456566
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,No Income,740143
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,"$5,000 to $9,999",252509
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,"$10,000 to $14,999",229721
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,"$15,000 to $24,999",317043
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,"$25,000 to $34,999",93849
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,"$35,000 to $49,999",51599
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,"$50,000 to $74,999",15192
01/01/2008 12:00:00 AM,18 to 64,Female,No high school diploma,"$75,000 and over",4233
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,No Income,528876
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,"$5,000 to $9,999",241389
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,"$10,000 to $14,999",241913
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,"$15,000 to $24,999",420710
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,"$25,000 to $34,999",293265
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,"$35,000 to $49,999",249327
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,"$50,000 to $74,999",131571
01/01/2008 12:00:00 AM,18 to 64,Female,High school or equivalent,"$75,000 and over",59350
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree",No Income,451575
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",327251
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",334679
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",497615
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",496456
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",536363
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",345723
01/01/2008 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$75,000 and over",179877
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,No Income,224757
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$5,000 to $9,999",131590
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$10,000 to $14,999",148626
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$15,000 to $24,999",345795
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$25,000 to $34,999",320338
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$35,000 to $49,999",503031
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$50,000 to $74,999",770798
01/01/2008 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$75,000 and over",781211
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,No Income,33353
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,"$5,000 to $9,999",71652
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,"$10,000 to $14,999",124247
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,"$15,000 to $24,999",69185
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,"$25,000 to $34,999",16279
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,"$35,000 to $49,999",21985
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,"$50,000 to $74,999",13271
01/01/2008 12:00:00 AM,65 to 80+,Male,No high school diploma,"$75,000 and over",5801
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,No Income,8278
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$5,000 to $9,999",46783
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$10,000 to $14,999",75602
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$15,000 to $24,999",108184
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$25,000 to $34,999",37651
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$35,000 to $49,999",48804
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$50,000 to $74,999",27164
01/01/2008 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$75,000 and over",8527
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree",No Income,1923
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",21902
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",66280
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",108057
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",62955
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",46427
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",22443
01/01/2008 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$75,000 and over",34723
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,No Income,25141
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$5,000 to $9,999",27004
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$10,000 to $14,999",43599
